title,release_date,duration_ms,duration_min,ology,smologies,encore,part_2,branch,primary,secondary,,,
UFOlogy (UNEXPLAINED AERIAL PHENOMENA) with Sarah Scoles and Kate Dorsch,6/29/2021,4227709,70.46,UFOlogy,0,0,0,FNS,Sociology,Psychology,,,
Spheksology (WASPS) with Eric Eaton,6/22/2021,4309577,71.83,Spheksology,0,0,0,FNS,Biology,NA,,,
"Quarantinology (UM, WHAT HAPPENS NOW?) with Various Ologists",6/15/2021,4585456,76.42,Quarantinology,0,0,0,ASS,Jurisprudence,NA,,,
Wildlife Ecology (FIELDWORK) with Corina Newsome,6/8/2021,4532035,75.53,Ecology,0,0,0,FNS,Biology,NA,,,
Phallology (PENISES) with Emily Willingham,6/1/2021,4304117,71.74,Phallology,0,0,0,FNS,Biology,Psychology,,,
Pinnipedology (SEALS & WALRUSES) with Luis A. Hückstädt,5/25/2021,4428199,73.80,Pinnipedology,0,0,0,FNS,Biology,NA,,,
Bonus Feed Drop: Implicit Bias on the REAL GOOD podcast,5/22/2021,3633946,60.57,NA,0,0,0,NA,NA,NA,,,
"Foraging Ecology (EATING WILD PLANTS) with @BlackForager, Alexis Nikole Nelson",5/18/2021,4980114,83.00,Ecology,0,0,0,FSS,Agricultural science,Biology,,,
Biomineralogy (SHELLS) with Robert Ulrich,5/12/2021,3801312,63.36,Biomineralogy,0,0,0,FNS,Biology,NA,,,
Speech Language Pathology (TALKING DOGS... AND PEOPLE) with Christina Hunger,5/4/2021,4322403,72.04,Pathology,0,0,0,FSS,Psychology,NA,,,
Maritime Archaeology (SHIPWRECKS) with Chanelle Zaphiropoulos,4/27/2021,5798948,96.65,Archaeology,0,0,0,FSS,Anthropology,NA,,,
Proptology (THEATER & FILM PROPS) with Jay Duckworth,4/21/2021,4537939,75.63,Proptology,0,0,0,ANS,Art,Engineering,,,
"Ursinology Part 2 (BEARS) with Thea Bechshoft, Lana Ciarniello, Drew Hamilton, Wes Larson, Tsalani Lassiter & Danielle Rivet",4/14/2021,5624502,93.74,Ursinology,0,0,1,FNS,Biology,NA,,,
Ursinology (BEARS) with Chris Morgan,4/7/2021,5384359,89.74,Ursinology,0,0,0,FNS,Biology,NA,,,
Oology (EGGS) Encore + Bonus Material with John Bates,3/30/2021,4018808,66.98,Oology,0,1,0,FNS,Biology,NA,,,
Fanthropology Pt. 2 (FANDOM) with Meredith Levine,3/23/2021,2832248,47.20,Fanthropology,0,0,0,FSS,Sociology,Psychology,,,
Fanthropology (FANDOM) with Meredith Levine,3/16/2021,3620728,60.35,Fanthropology,0,0,0,FSS,Sociology,Psychology,,,
Nephrology (KIDNEYS) with Samira Farouk,3/9/2021,4970553,82.84,Nephrology,0,0,0,FNS,Biology,Medicine,,,
Cicadology (CICADAS) with Gene Kritsky,3/3/2021,4295418,71.59,Cicadology,0,0,0,FNS,Biology,NA,,,
Gluteology (BUTTS) with Natalia Reagan,2/23/2021,3907683,65.13,Gluteology,0,0,0,FNS,Biology,NA,,,
Molecular Biology (PROTEINS + SCIENCE COMMUNICATION) with Raven “The Science Maven” Baxter,2/16/2021,4472032,74.53,Biology,0,0,0,FNS,Biology,Chemistry,,,
